trial,image,view,azimuth,elevation,distance,object,x,y,z
1,trial_001.png,standard,90.0,-75.0,1.3,stone,0.30326027658105514,0.14096964676823703,0.04
1,trial_001.png,standard,90.0,-75.0,1.3,box_obj,0.3647091430808779,0.019365986130733176,0.03
1,trial_001.png,standard,90.0,-75.0,1.3,cylinder_obj,0.2825404425344159,-0.19336028937641547,0.05
2,trial_002.png,standard,90.0,-75.0,1.3,stone,0.37250930728860177,-0.10358953546372769,0.04
2,trial_002.png,standard,90.0,-75.0,1.3,box_obj,0.32865987199319185,0.06844645664013593,0.03
2,trial_002.png,standard,90.0,-75.0,1.3,cylinder_obj,0.26628623125679646,-0.13255819665612312,0.05
3,trial_003.png,standard,90.0,-75.0,1.3,stone,0.3219139567364381,0.08327399460227453,0.04
3,trial_003.png,standard,90.0,-75.0,1.3,box_obj,0.26747327112314057,-0.1342796414704744,0.03
3,trial_003.png,standard,90.0,-75.0,1.3,cylinder_obj,0.34463534144833197,-0.19002188484501034,0.05
4,trial_004.png,standard,90.0,-75.0,1.3,stone,0.2785653823923891,0.11891109332022198,0.04
4,trial_004.png,standard,90.0,-75.0,1.3,box_obj,0.32806407923225345,-0.1039552393085149,0.03
4,trial_004.png,standard,90.0,-75.0,1.3,cylinder_obj,0.31069699567435594,0.014097856055581282,0.05
5,trial_005.png,left,65.0,-65.0,1.3,stone,0.30949312767079357,0.058037836950910526,0.04
5,trial_005.png,left,65.0,-65.0,1.3,box_obj,0.23646700342926844,-0.023790713448187922,0.03
5,trial_005.png,left,65.0,-65.0,1.3,cylinder_obj,0.32945695525575164,-0.10090251713060996,0.05
6,trial_006.png,left,65.0,-65.0,1.3,stone,0.36622938865400967,-0.011412646810077726,0.04
6,trial_006.png,left,65.0,-65.0,1.3,box_obj,0.25432800993381327,-0.12305614982753088,0.03
6,trial_006.png,left,65.0,-65.0,1.3,cylinder_obj,0.2782532866594086,0.07683438275508375,0.05
7,trial_007.png,left,65.0,-65.0,1.3,stone,0.33484110739007683,-0.05441540514941354,0.04
7,trial_007.png,left,65.0,-65.0,1.3,box_obj,0.24893899911143325,-0.06219335332184037,0.03
7,trial_007.png,left,65.0,-65.0,1.3,cylinder_obj,0.2508607275408273,0.14896473072539718,0.05
8,trial_008.png,left,65.0,-65.0,1.3,stone,0.3670303811707858,-0.10335610098688805,0.04
8,trial_008.png,left,65.0,-65.0,1.3,box_obj,0.29661180875222937,0.015167439441239855,0.03
8,trial_008.png,left,65.0,-65.0,1.3,cylinder_obj,0.3671230969996015,0.0942436939943877,0.05
9,trial_009.png,right,115.0,-65.0,1.3,stone,0.3203966834416953,-0.01675009469715466,0.04
9,trial_009.png,right,115.0,-65.0,1.3,box_obj,0.3751466234307224,0.11272662274246359,0.03
9,trial_009.png,right,115.0,-65.0,1.3,cylinder_obj,0.2931531644049049,-0.16728109750046527,0.05
10,trial_010.png,right,115.0,-65.0,1.3,stone,0.3494270885125919,0.12824597979711044,0.04
10,trial_010.png,right,115.0,-65.0,1.3,box_obj,0.30526494992156505,-0.12682680499224241,0.03
10,trial_010.png,right,115.0,-65.0,1.3,cylinder_obj,0.28703806553043043,-0.008944204012236973,0.05
11,trial_011.png,right,115.0,-65.0,1.3,stone,0.31196157161856075,-0.18659648739633303,0.04
11,trial_011.png,right,115.0,-65.0,1.3,box_obj,0.3313178860266018,0.005862277229155,0.03
11,trial_011.png,right,115.0,-65.0,1.3,cylinder_obj,0.23816441790525883,-0.04082156132269227,0.05
12,trial_012.png,right,115.0,-65.0,1.3,stone,0.3312131366834216,-0.10241075456937268,0.04
12,trial_012.png,right,115.0,-65.0,1.3,box_obj,0.283458879622643,0.012827220347545937,0.03
12,trial_012.png,right,115.0,-65.0,1.3,cylinder_obj,0.2745944658946372,0.1155033389979056,0.05
13,trial_013.png,close,90.0,-75.0,1.0,stone,0.3488232696293623,0.10056688641140482,0.04
13,trial_013.png,close,90.0,-75.0,1.0,box_obj,0.37167417887231524,-0.06175404700529091,0.03
13,trial_013.png,close,90.0,-75.0,1.0,cylinder_obj,0.28989094701266593,0.029457123261696666,0.05
14,trial_014.png,close,90.0,-75.0,1.0,stone,0.37948681264528317,-0.0015973850326570505,0.04
14,trial_014.png,close,90.0,-75.0,1.0,box_obj,0.3454758875810511,-0.18051557179910876,0.03
14,trial_014.png,close,90.0,-75.0,1.0,cylinder_obj,0.24977169182269257,0.05286295179933187,0.05
15,trial_015.png,close,90.0,-75.0,1.0,stone,0.30864713623447204,-0.028339296618520554,0.04
15,trial_015.png,close,90.0,-75.0,1.0,box_obj,0.22482492571374915,0.0805105084123075,0.03
15,trial_015.png,close,90.0,-75.0,1.0,cylinder_obj,0.34715898963252284,-0.19909693265492204,0.05
16,trial_016.png,close,90.0,-75.0,1.0,stone,0.3016497397884271,0.0952719791447233,0.04
16,trial_016.png,close,90.0,-75.0,1.0,box_obj,0.325431933424016,-0.13375036294736814,0.03
16,trial_016.png,close,90.0,-75.0,1.0,cylinder_obj,0.24188857649048656,-0.04990246211991292,0.05
17,trial_017.png,far,90.0,-75.0,1.6,stone,0.3275711713705699,-0.18202646673455886,0.04
17,trial_017.png,far,90.0,-75.0,1.6,box_obj,0.25702356813799626,0.011187054385870282,0.03
17,trial_017.png,far,90.0,-75.0,1.6,cylinder_obj,0.3692573659905094,-0.00805211701362632,0.05
18,trial_018.png,far,90.0,-75.0,1.6,stone,0.3689236892363256,-0.07564664675329365,0.04
18,trial_018.png,far,90.0,-75.0,1.6,box_obj,0.29540977852059547,0.05891096835185933,0.03
18,trial_018.png,far,90.0,-75.0,1.6,cylinder_obj,0.2514869914803824,-0.023982639365665026,0.05
19,trial_019.png,far,90.0,-75.0,1.6,stone,0.3184439399626957,0.01101772118185762,0.04
19,trial_019.png,far,90.0,-75.0,1.6,box_obj,0.33684534660523957,-0.12985544601845928,0.03
19,trial_019.png,far,90.0,-75.0,1.6,cylinder_obj,0.3272188073575386,0.13775786116707556,0.05
20,trial_020.png,far,90.0,-75.0,1.6,stone,0.3705759147209179,-0.05182137963340397,0.04
20,trial_020.png,far,90.0,-75.0,1.6,box_obj,0.2686450731550903,-0.04868192054258838,0.03
20,trial_020.png,far,90.0,-75.0,1.6,cylinder_obj,0.32355152436520584,0.07409717902710111,0.05
