trial,image,view,azimuth,elevation,distance,object,x,y,z,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax
1,trial_001.png,standard,90.0,-75.0,1.3,stone,0.3144040194355765,0.0568040582918648,0.04,309,210,343,234
1,trial_001.png,standard,90.0,-75.0,1.3,box_obj,0.34399030515377577,-0.026008033697847932,0.03,326,237,353,268
1,trial_001.png,standard,90.0,-75.0,1.3,cylinder_obj,0.246684113831085,-0.18795497282363677,0.05,280,307,309,339
2,trial_002.png,standard,90.0,-75.0,1.3,stone,0.30716171506490325,0.12132457343831982,0.04,309,173,336,180
2,trial_002.png,standard,90.0,-75.0,1.3,box_obj,0.28515216943606503,-0.01440782991391465,0.03,300,232,326,263
2,trial_002.png,standard,90.0,-75.0,1.3,cylinder_obj,0.2376789475498304,-0.19187970418846903,0.05,276,309,305,341
3,trial_003.png,standard,90.0,-75.0,1.3,stone,0.31863916895524796,-0.007866315321545969,0.04,311,227,345,261
3,trial_003.png,standard,90.0,-75.0,1.3,box_obj,0.3615797471818004,-0.1676711172953702,0.03,334,300,362,330
3,trial_003.png,standard,90.0,-75.0,1.3,cylinder_obj,0.2788771550708403,-0.1251678991305326,0.05,296,277,323,311
4,trial_004.png,standard,90.0,-75.0,1.3,stone,0.37406786953406457,0.06051737371055771,0.04,335,210,369,232
4,trial_004.png,standard,90.0,-75.0,1.3,box_obj,0.2377667951679522,0.03553153223587757,0.03,279,211,305,242
4,trial_004.png,standard,90.0,-75.0,1.3,cylinder_obj,0.24821736770106323,-0.05360712474865062,0.05,282,245,309,280
5,trial_005.png,left,65.0,-65.0,1.3,stone,0.31706411526775546,-0.09042105490312997,0.04,326,254,361,290
5,trial_005.png,left,65.0,-65.0,1.3,box_obj,0.22382007730914485,0.12220712250882326,0.03,253,203,285,233
5,trial_005.png,left,65.0,-65.0,1.3,cylinder_obj,0.3341577187545828,0.11015279774121789,0.05,300,182,325,216
6,trial_006.png,left,65.0,-65.0,1.3,stone,0.2513787006202487,0.027825843608740436,0.04,278,222,312,257
6,trial_006.png,left,65.0,-65.0,1.3,box_obj,0.27759535779502514,-0.12063426188403037,0.03,316,271,352,314
6,trial_006.png,left,65.0,-65.0,1.3,cylinder_obj,0.23391547689117492,0.13530698548581288,0.05,258,202,283,223
7,trial_007.png,left,65.0,-65.0,1.3,stone,0.25220005939758566,0.011944714504143195,0.04,281,228,315,262
7,trial_007.png,left,65.0,-65.0,1.3,box_obj,0.31911503093319105,-0.04101442052544271,0.03,318,234,353,276
7,trial_007.png,left,65.0,-65.0,1.3,cylinder_obj,0.2798134349481202,0.1308210355939854,0.05,276,195,301,217
8,trial_008.png,left,65.0,-65.0,1.3,stone,0.36745311941513575,-0.13648993945391547,0.04,356,263,392,299
8,trial_008.png,left,65.0,-65.0,1.3,box_obj,0.22584718852300717,0.10661309619084275,0.03,255,203,288,238
8,trial_008.png,left,65.0,-65.0,1.3,cylinder_obj,0.29918181605039457,-0.19702600628392963,0.05,344,295,374,336
9,trial_009.png,right,115.0,-65.0,1.3,stone,0.3054616536366776,0.04943262133076945,0.04,314,208,348,241
9,trial_009.png,right,115.0,-65.0,1.3,box_obj,0.2481037549388315,-0.16166671692919227,0.03,247,274,285,316
9,trial_009.png,right,115.0,-65.0,1.3,cylinder_obj,0.3339302869148716,-0.14684779668859513,0.05,290,281,318,322
10,trial_010.png,right,115.0,-65.0,1.3,stone,0.313073452972898,0.05240190779696691,0.04,317,208,351,242
10,trial_010.png,right,115.0,-65.0,1.3,box_obj,0.30593245836326444,-0.08368295926669034,0.03,288,254,324,296
10,trial_010.png,right,115.0,-65.0,1.3,cylinder_obj,0.238889344358602,0.015045376074861005,0.05,284,202,311,244
11,trial_011.png,right,115.0,-65.0,1.3,stone,0.2844396766710655,0.12710107837964202,0.04,320,185,353,211
11,trial_011.png,right,115.0,-65.0,1.3,box_obj,0.2624065562062784,-0.16825960784923366,0.03,252,279,290,321
11,trial_011.png,right,115.0,-65.0,1.3,cylinder_obj,0.3771387469574914,0.09379114226340757,0.05,354,200,382,239
12,trial_012.png,right,115.0,-65.0,1.3,stone,0.3763060821639075,0.10217237718858996,0.04,351,202,385,234
12,trial_012.png,right,115.0,-65.0,1.3,box_obj,0.3730614711716991,-0.12251778116632574,0.03,308,281,344,324
12,trial_012.png,right,115.0,-65.0,1.3,cylinder_obj,0.23987142400172717,0.06221907184124792,0.05,294,186,320,228
13,trial_013.png,close,90.0,-75.0,1.0,stone,0.2816059813047365,-0.13750625533028088,0.04,285,297,332,344
13,trial_013.png,close,90.0,-75.0,1.0,box_obj,0.2509977514932302,0.11263505973457466,0.03,277,197,309,203
13,trial_013.png,close,90.0,-75.0,1.0,cylinder_obj,0.24004088760390263,-0.051342884448604464,0.05,264,245,302,291
14,trial_014.png,close,90.0,-75.0,1.0,stone,0.3688739890454595,-0.16677220117237465,0.04,337,314,384,362
14,trial_014.png,close,90.0,-75.0,1.0,box_obj,0.26604306583938414,0.07607002136744534,0.03,283,197,317,222
14,trial_014.png,close,90.0,-75.0,1.0,cylinder_obj,0.33485706699446455,-0.06144382784128061,0.05,323,251,359,296
15,trial_015.png,close,90.0,-75.0,1.0,stone,0.27491357304691555,-0.06421936511455986,0.04,282,254,328,300
15,trial_015.png,close,90.0,-75.0,1.0,box_obj,0.3334370507394252,-0.1795651093859846,0.03,322,326,358,365
15,trial_015.png,close,90.0,-75.0,1.0,cylinder_obj,0.359355985816291,0.08184925729735182,0.05,336,197,370,219
16,trial_016.png,close,90.0,-75.0,1.0,stone,0.34551866138649445,0.06036924183954406,0.04,323,197,367,230
16,trial_016.png,close,90.0,-75.0,1.0,box_obj,0.22984312634691614,-0.02107597360348909,0.03,261,233,297,274
16,trial_016.png,close,90.0,-75.0,1.0,cylinder_obj,0.24614217313149644,0.1041547236283063,0.05,278,197,305,207
17,trial_017.png,far,90.0,-75.0,1.6,stone,0.26985422376031487,-0.1541878481739556,0.04,294,281,323,310
17,trial_017.png,far,90.0,-75.0,1.6,box_obj,0.22258252372571483,0.011652436971761826,0.03,281,225,302,250
17,trial_017.png,far,90.0,-75.0,1.6,cylinder_obj,0.33217436446263976,0.14841657199849018,0.05,321,173,342,194
18,trial_018.png,far,90.0,-75.0,1.6,stone,0.2224864457280286,-0.031601370171785215,0.04,278,238,305,265
18,trial_018.png,far,90.0,-75.0,1.6,box_obj,0.2872155495478115,0.08253701760605248,0.03,305,217,325,226
18,trial_018.png,far,90.0,-75.0,1.6,cylinder_obj,0.3200017020155874,-0.16135347284685486,0.05,316,284,338,311
19,trial_019.png,far,90.0,-75.0,1.6,stone,0.2883560392689195,-0.08861802215377998,0.04,301,258,329,286
19,trial_019.png,far,90.0,-75.0,1.6,box_obj,0.3476713196683914,0.007644556972549621,0.03,326,226,347,251
19,trial_019.png,far,90.0,-75.0,1.6,cylinder_obj,0.2564543971677786,0.07883378529143831,0.05,295,217,314,227
20,trial_020.png,far,90.0,-75.0,1.6,stone,0.3671918592866871,-0.08319878394288749,0.04,330,256,358,284
20,trial_020.png,far,90.0,-75.0,1.6,box_obj,0.2824446598522401,-0.09423644442502804,0.03,302,262,324,287
20,trial_020.png,far,90.0,-75.0,1.6,cylinder_obj,0.2708524787170673,0.12474964632223146,0.05,298,181,319,194
